name,datetime,order_type,volume,min_price,max_price,avg_price,mod_rank,median,item_id,range
adaptation,2023-08-24T00:00:00.000+00:00,closed,14,75.0,80.0,77.5,10.0,80.0,5bc1ab93b919f200c18c10ef,5.0
adaptation,2023-08-24T00:00:00.000+00:00,sell,658,72.0,119.0,95.5,10.0,90.0,5bc1ab93b919f200c18c10ef,47.0
adaptation,2023-08-24T00:00:00.000+00:00,buy,99,50.0,68.0,59.0,10.0,60.0,5bc1ab93b919f200c18c10ef,18.0
adaptation,2023-08-23T00:00:00.000+00:00,closed,14,75.0,85.0,80.0,10.0,80.0,5bc1ab93b919f200c18c10ef,10.0
adaptation,2023-08-23T00:00:00.000+00:00,sell,572,72.0,119.0,95.5,10.0,90.0,5bc1ab93b919f200c18c10ef,47.0
adaptation,2023-08-23T00:00:00.000+00:00,buy,124,55.0,66.0,60.5,10.0,60.5,5bc1ab93b919f200c18c10ef,11.0
adaptation,2023-08-22T00:00:00.000+00:00,closed,12,70.0,85.0,77.5,10.0,80.0,5bc1ab93b919f200c18c10ef,15.0
adaptation,2023-08-22T00:00:00.000+00:00,sell,531,70.0,119.0,94.5,10.0,88.0,5bc1ab93b919f200c18c10ef,49.0
adaptation,2023-08-22T00:00:00.000+00:00,buy,11098,41.0,65.0,53.0,10.0,57.0,5bc1ab93b919f200c18c10ef,24.0
adaptation,2023-08-21T00:00:00.000+00:00,closed,24,70.0,85.0,77.5,10.0,80.0,5bc1ab93b919f200c18c10ef,15.0
adaptation,2023-08-21T00:00:00.000+00:00,sell,623,72.0,110.0,91.0,10.0,88.5,5bc1ab93b919f200c18c10ef,38.0
adaptation,2023-08-21T00:00:00.000+00:00,buy,11171,50.0,65.0,57.5,10.0,58.0,5bc1ab93b919f200c18c10ef,15.0
adaptation,2023-08-17T00:00:00.000+00:00,closed,13,70.0,85.0,77.5,10.0,79.0,5bc1ab93b919f200c18c10ef,15.0
adaptation,2023-08-17T00:00:00.000+00:00,sell,563,74.0,120.0,97.0,10.0,90.0,5bc1ab93b919f200c18c10ef,46.0
adaptation,2023-08-17T00:00:00.000+00:00,buy,12148,50.0,67.0,58.5,10.0,57.0,5bc1ab93b919f200c18c10ef,17.0
adaptation,2023-08-16T00:00:00.000+00:00,closed,18,60.0,88.0,74.0,10.0,80.0,5bc1ab93b919f200c18c10ef,28.0
adaptation,2023-08-16T00:00:00.000+00:00,sell,604,72.0,120.0,96.0,10.0,90.0,5bc1ab93b919f200c18c10ef,48.0
adaptation,2023-08-16T00:00:00.000+00:00,buy,1131,55.0,67.0,61.0,10.0,61.0,5bc1ab93b919f200c18c10ef,12.0
adaptation,2023-08-15T00:00:00.000+00:00,closed,20,60.0,90.0,75.0,10.0,75.0,5bc1ab93b919f200c18c10ef,30.0
adaptation,2023-08-15T00:00:00.000+00:00,sell,715,70.0,120.0,95.0,10.0,90.0,5bc1ab93b919f200c18c10ef,50.0
adaptation,2023-08-15T00:00:00.000+00:00,buy,11182,40.0,67.0,53.5,10.0,55.5,5bc1ab93b919f200c18c10ef,27.0
adarza_kavat_imprint,2023-08-24T00:00:00.000+00:00,closed,8,7.0,10.0,8.5,,10.0,5ba9f2054567de01415f6391,3.0
adarza_kavat_imprint,2023-08-24T00:00:00.000+00:00,buy,2,5.0,6.0,5.5,,5.5,5ba9f2054567de01415f6391,1.0
adarza_kavat_imprint,2023-08-24T00:00:00.000+00:00,sell,334,5.0,15.0,10.0,,10.0,5ba9f2054567de01415f6391,10.0
adarza_kavat_imprint,2023-08-23T00:00:00.000+00:00,closed,13,7.0,10.0,8.5,,8.5,5ba9f2054567de01415f6391,3.0
adarza_kavat_imprint,2023-08-23T00:00:00.000+00:00,buy,6,1.0,6.0,3.5,,5.0,5ba9f2054567de01415f6391,5.0
adarza_kavat_imprint,2023-08-23T00:00:00.000+00:00,sell,346,5.0,15.0,10.0,,10.0,5ba9f2054567de01415f6391,10.0
adarza_kavat_imprint,2023-08-22T00:00:00.000+00:00,closed,5,8.0,10.0,9.0,,8.5,5ba9f2054567de01415f6391,2.0
adarza_kavat_imprint,2023-08-22T00:00:00.000+00:00,buy,7,1.0,6.0,3.5,,5.0,5ba9f2054567de01415f6391,5.0
adarza_kavat_imprint,2023-08-22T00:00:00.000+00:00,sell,407,5.0,15.0,10.0,,10.0,5ba9f2054567de01415f6391,10.0
adarza_kavat_imprint,2023-08-21T00:00:00.000+00:00,closed,3,10.0,10.0,10.0,,10.0,5ba9f2054567de01415f6391,0.0
adarza_kavat_imprint,2023-08-21T00:00:00.000+00:00,buy,8,1.0,6.0,3.5,,5.0,5ba9f2054567de01415f6391,5.0
adarza_kavat_imprint,2023-08-21T00:00:00.000+00:00,sell,403,5.0,15.0,10.0,,10.0,5ba9f2054567de01415f6391,10.0
adarza_kavat_imprint,2023-08-17T00:00:00.000+00:00,closed,11,9.0,10.0,9.5,,9.0,5ba9f2054567de01415f6391,1.0
adarza_kavat_imprint,2023-08-17T00:00:00.000+00:00,buy,6,1.0,6.0,3.5,,4.5,5ba9f2054567de01415f6391,5.0
adarza_kavat_imprint,2023-08-17T00:00:00.000+00:00,sell,273,6.0,14.0,10.0,,10.0,5ba9f2054567de01415f6391,8.0
adarza_kavat_imprint,2023-08-16T00:00:00.000+00:00,closed,3,9.0,10.0,9.5,,9.0,5ba9f2054567de01415f6391,1.0
adarza_kavat_imprint,2023-08-16T00:00:00.000+00:00,buy,9,1.0,6.0,3.5,,5.0,5ba9f2054567de01415f6391,5.0
adarza_kavat_imprint,2023-08-16T00:00:00.000+00:00,sell,328,5.0,15.0,10.0,,10.0,5ba9f2054567de01415f6391,10.0
adarza_kavat_imprint,2023-08-15T00:00:00.000+00:00,closed,6,8.0,10.0,9.0,,10.0,5ba9f2054567de01415f6391,2.0
adarza_kavat_imprint,2023-08-15T00:00:00.000+00:00,buy,2,3.0,5.0,4.0,,4.0,5ba9f2054567de01415f6391,2.0
adarza_kavat_imprint,2023-08-15T00:00:00.000+00:00,sell,375,5.0,15.0,10.0,,10.0,5ba9f2054567de01415f6391,10.0
aeolak_barrel,2023-08-24T00:00:00.000+00:00,closed,9,13.0,30.0,21.5,,20.0,626ca573f40db600829c9d0d,17.0
